id_subsistema;nom_subsistema;din_instante;val_cargaenergiahomwmed
NE;NORDESTE;2022-01-02 00:00:00;11044.85000000
S;SUL;2022-01-02 00:00:00;11578.31000000
SE;SUDESTE;2022-01-02 00:00:00;33896.98900000
N;NORTE;2022-01-02 01:00:00;5618.35900000
NE;NORDESTE;2022-01-02 01:00:00;10715.85900000
S;SUL;2022-01-02 01:00:00;11006.70500000
SE;SUDESTE;2022-01-02 01:00:00;32287.88000000
N;NORTE;2022-01-02 02:00:00;5524.30799999
NE;NORDESTE;2022-01-02 02:00:00;10477.95100000
S;SUL;2022-01-02 02:00:00;10497.60500000
SE;SUDESTE;2022-01-02 02:00:00;31211.99899999
N;NORTE;2022-01-02 03:00:00;5386.47300000
NE;NORDESTE;2022-01-02 03:00:00;10299.70300000
S;SUL;2022-01-02 03:00:00;10144.64500000
SE;SUDESTE;2022-01-02 03:00:00;30555.61499999
N;NORTE;2022-01-02 04:00:00;5295.44299999
NE;NORDESTE;2022-01-02 04:00:00;10197.80700000
S;SUL;2022-01-02 04:00:00;9912.85600000
SE;SUDESTE;2022-01-02 04:00:00;30335.21899999
N;NORTE;2022-01-02 05:00:00;5235.02900000
NE;NORDESTE;2022-01-02 05:00:00;9587.79000000
S;SUL;2022-01-02 05:00:00;9447.41900000
SE;SUDESTE;2022-01-02 05:00:00;29567.72800000
N;NORTE;2022-01-02 06:00:00;4962.66600000
NE;NORDESTE;2022-01-02 06:00:00;9179.42500000
S;SUL;2022-01-02 06:00:00;9114.28700000
SE;SUDESTE;2022-01-02 06:00:00;28696.03799999
N;NORTE;2022-01-02 07:00:00;4781.64700000
NE;NORDESTE;2022-01-02 07:00:00;9153.52400000
S;SUL;2022-01-02 07:00:00;9208.10900000
SE;SUDESTE;2022-01-02 07:00:00;29075.24300000
N;NORTE;2022-01-02 08:00:00;4744.09899999
NE;NORDESTE;2022-01-02 08:00:00;9056.30599999
S;SUL;2022-01-02 08:00:00;9225.90200000
SE;SUDESTE;2022-01-02 08:00:00;29842.81200000
N;NORTE;2022-01-02 09:00:00;4634.35600000
NE;NORDESTE;2022-01-02 09:00:00;8797.69100000
S;SUL;2022-01-02 09:00:00;9203.88000000
SE;SUDESTE;2022-01-02 09:00:00;30742.88400000
N;NORTE;2022-01-02 10:00:00;4659.99999999
NE;NORDESTE;2022-01-02 10:00:00;8754.28000000
S;SUL;2022-01-02 10:00:00;9390.13300000
SE;SUDESTE;2022-01-02 10:00:00;31551.92100000
N;NORTE;2022-01-02 11:00:00;4732.70699999
NE;NORDESTE;2022-01-02 11:00:00;8872.20300000
S;SUL;2022-01-02 11:00:00;9812.77900000
