MÊS;ANO;NORTE;NORDESTE;SUDESTE;SUL;CENTRO OESTE
JAN;2004;348585;1098664;3694386;1132506;506540
FEV;2004;323403;1000221;3511541;1121970;472103
MAR;2004;320237;1049437;3629455;1108027;493181
ABR;2004;339775;1097251;3733863;1132047;506071
MAI;2004;332155;1033007;3537269;1082103;492808
JUN;2004;332089;1002351;3433443;1056850;466359
JUL;2004;328423;969181;3457623;1066705;470539
AGO;2004;338836;962934;3453322;1070192;479192
SET;2004;351459;1041242;3596160;1100557;514971
OUT;2004;353207;1046249;3608130;1069478;529450
NOV;2004;362279;1083212;3608515;1071490;505694
DEZ;2004;355894;1104220;3569438;1100567;513252
JAN;2005;355960;1166974;3873894;1194716;526994
FEV;2005;336135;1132479;3616967;1161664;511087
MAR;2005;341725;1137174;3711051;1155064;520203
ABR;2005;350369;1145854;3923735;1180034;531746
MAI;2005;338681;1118876;3655561;1099102;505927
JUN;2005;352716;1071457;3710837;1128837;517429
JUL;2005;356661;1047172;3626333;1112988;501666
AGO;2005;360833;1071180;3635143;1129754;507765
SET;2005;381555;1077986;3819948;1130082;539783
OUT;2005;372756;1112111;3773673;1112763;546683
NOV;2005;384562;1149668;3774518;1116745;550948
DEZ;2005;360953;1161649;3869508;1156844;528775
JAN;2006;352086;1175576;3895002;1217745;527224
FEV;2006;343002;1126753;3891195;1237781;533084
MAR;2006;344413;1204843;4121517;1206397;531347
ABR;2006;348152;1183946;3957604;1184330;555794
MAI;2006;345138;1153080;3811708;1096410;527020
JUN;2006;355133;1120182;3828066;1145520;514692
JUL;2006;369332;1104726;3768572;1138292;511993
AGO;2006;372153;1108110;3774740;1150880;534089
SET;2006;397912;1137729;3888550;1140225;563955
OUT;2006;397549;1189699;3901043;1130932;563013
NOV;2006;402093;1252976;3997650;1203160;582830
DEZ;2006;380071;1218118;4016723;1195034;556939
JAN;2007;377018;1259580;4183534;1327669;562552
FEV;2007;364503;1208193;4000465;1269714;550066
MAR;2007;352883;1194430;4219240;1275474;552290
ABR;2007;371967;1244458;4223592;1291818;596991
MAI;2007;371605;1218867;4104316;1243434;553266
JUN;2007;381288;1205705;3887323;1193009;536836
JUL;2007;374013;1177362;3813598;1172657;533647
AGO;2007;392888;1185584;3979163;1249110;537771
SET;2007;408304;1164758;4058552;1238276;579422
OUT;2007;409738;1226991;4053969;1216932;604146
NOV;2007;422501;1286044;4229638;1238824;591274
DEZ;2007;405279;1305312;4116989;1218277;572267
JAN;2008;396323;1360682;4412691;1380788;583757
FEV;2008;380864;1332020;4340742;1324724;580367
MAR;2008;374421;1306498;4179036;1276707;556939
ABR;2008;386480;1299819;4225451;1264139;578792
MAI;2008;399647;1316168;4386332;1255075;576659
JUN;2008;399430;1246959;4153532;1252972;568337
JUL;2008;405359;1256700;4186405;1258858;546183
AGO;2008;434435;1266491;4292183;1296088;591435
SET;2008;455038;1275643;4208021;1258612;618394
OUT;2008;453242;1358840;4413750;1268536;625417
NOV;2008;452781;1361440;4456627;1306813;660058
DEZ;2008;431406;1398059;4222422;1280988;609814
JAN;2009;437714;1447974;4648272;1419724;650865
FEV;2009;400108;1369074;4425160;1354039;601070
MAR;2009;393057;1413760;4666872;1397087;618907
ABR;2009;413043;1455395;4574496;1388854;640315
MAI;2009;406935;1389283;4466390;1299824;625858
JUN;2009;411397;1340100;4263405;1299676;594716
JUL;2009;429684;1353994;4390194;1338723;592316
AGO;2009;453741;1426344;4521489;1381261;620129
SET;2009;475717;1438256;4516470;1336852;649506
OUT;2009;472878;1488745;4587326;1317935;658857
